In Java's regular expressions, '\d' looks for __	digits	
Will this compile? <br /><br /><br /><code>static void doStuff(int... doArgs) { } </code>	yes	
Will this compile?<br /><br /><br /><code>static void doStuff(int doArgs...) { }</code>	no. Valid vararg parameter syntax is...<br /><br />doStuff(int a, int b, ... , int z, int... doArgs)	
static void doStuff(int... doArgs, int y) { }<div><br /></div><div>Will this compile?</div>	no.&nbsp;Valid vararg parameter syntax is...<br /><br />doStuff(int a, int b, ... , int z, int... doArgs)	
Will this compile?<br /><br /><br /><code>static void doStuff(int x, int... doArgs) { } </code>	yes	
Enums can be declared as their own separate class. T/F	true	
Enums cannot be declared as their own separate class. T/F	false. They can.	
Enums can be declared as a class member. T/F	true	
Enums cannot be declared as a class member. T/F	false	
Enums can be declared within a method. T/F	false. They cannot	
Enums cannot be declared within a method. T/F	true	
A no-arg constructor is always created for a class by the compiler if it doesn't already exist. T/F	False.<br /><br />If a class has constructors (with args) already defined, the compiler will NOT create a no-arg constructor even if no no-arg constructor exists.	
Cohesion is...	Cohesion is the OO principle which states that a class should be designed with a single, well-focused purpose.	
Encapsulation is...	...the OO principle which states that implementation details should be hidden behind a public programming interface.	
Coupling is...	Coupling refers to the degree to which one class knows about another class. OO principle states that one class should only know about another class through it's API.	
Polymorphism is...	Polymorphism is the OO principle which means that a single object can be seen as having many types.	
<div>What is the output of the following?<br /><br /></div><div align="left"><code><div>class A {<br />&nbsp;&nbsp;public static void main(String[] args) {<br />&nbsp;&nbsp; &nbsp;B foo = new C();<br />&nbsp;&nbsp; &nbsp;System.out.println(foo.x + " " + foo.doThing() );<br />&nbsp;&nbsp;}<br />}<br />class B {<br />&nbsp;&nbsp;String x = "b_var";<br />&nbsp;&nbsp;public String doThing() { return "B.doThing()"; }<br />}<br />class C extends B {<br />&nbsp;&nbsp;String x = "c_var";<br />&nbsp;&nbsp;public String doThing() { return "C.doThing()"; }<br />}</div></code></div>	b_var C.doThing()<br /><br />Polymorphism is only for instance methods (not instance variables).	
Polymorphism applies only to instance methods, not instance variables. T/F?	True	
Polymorphism only applies to instance variables, not instance methods. T/F?	False.<br /><br />Polymorphism only applies to instance methods.	
<div>What is the output of the following?</div><div align="left"><br /><code align="left">class A {<br />&nbsp;&nbsp;public static void main(String[] args) {<br />&nbsp;&nbsp; &nbsp;B foo = new C();<br />&nbsp;&nbsp; &nbsp;System.out.println(foo.x + " " + foo.doThing() );<br />&nbsp;&nbsp;}<br />}<br />class B {<br />&nbsp;&nbsp;String x = "b_var";<br />&nbsp;&nbsp;public static String doThing() { return "B.doThing()"; }<br />}<br />class C extends B {<br />&nbsp;&nbsp;String x = "c_var";<br />&nbsp;&nbsp;public static String doThing() { return "C.doThing()"; }<br />}</code></div>	b_var B.doThing()<br /><br /><br />doThing() is a static method.	
Overloaded methods with a var-arg parameter are chosen last. T/F	True	
Overloaded methods with a var-arg parameter are chosen first. T/F	False. Var-arg overloaded methods are chosen last.	
<div>What is the value of result?</div><div align="left"><code><br /></code></div><div align="left"><code>class A { }<br />class Example {</code></div><div align="left"><code>&nbsp;&nbsp;static String result = "";</code></div><div align="left"><code>&nbsp;&nbsp;public static void main(String[] args) {</code></div><div align="left"><code>&nbsp;&nbsp; &nbsp;A[] a = new A[2];</code></div><div align="left"><code>&nbsp;&nbsp; &nbsp;foo(a);</code></div><div align="left"><code>&nbsp;&nbsp;}</code></div><div align="left"><code>&nbsp;&nbsp;static void foo(A[]... a) { result += "1"; }</code></div><div align="left"><code>&nbsp;&nbsp;static void foo(A[] a) &nbsp; &nbsp;{ result += "2"; }</code></div><div align="left"><code>&nbsp;&nbsp;static void foo(Object o) { result += "3"; }</code></div><div align="left"><code>}</code></div>	2	
What is the value of result?<div><br /><code><div align="left">class A { }</div><div align="left">class B extends A { }</div><div align="left">class Example {</div><div align="left">&nbsp;&nbsp;static String result = "";</div><div align="left">&nbsp;&nbsp;public static void main(String[] args) {</div><div align="left">&nbsp;&nbsp; &nbsp;B[] b = new B[2];</div><div align="left">&nbsp;&nbsp; &nbsp;foo(b);</div><div align="left">&nbsp;&nbsp;}</div><div align="left">&nbsp;&nbsp;static void foo(A[]... a) { result += "1"; }</div><div align="left">&nbsp;&nbsp;static void foo(B[]... b) { result += "2"; }&nbsp;</div><div align="left">&nbsp;&nbsp;static void foo(A[] a) &nbsp; &nbsp;{ result += "3"; }&nbsp;&nbsp; &nbsp; &nbsp;</div><div align="left">&nbsp;&nbsp;static void foo(Object o) { result += "4"; }</div><div align="left">}</div></code></div>	3<br /><br />var-arg overloaded methods are chosen last	
What is the value of result?<br /><br /><div align="left"><code><div>class Example {</div><div>&nbsp;&nbsp;static String result = "";</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp; &nbsp;int i = 1;</div><div>&nbsp;&nbsp; &nbsp;foo(i);</div><div>&nbsp;&nbsp; &nbsp;System.out.println(result);</div><div>&nbsp;&nbsp;}</div><div>&nbsp;&nbsp;static void foo(A[]... a) { result += "1"; }</div><div>&nbsp;&nbsp;static void foo(B[]... b) { result += "2"; }</div><div>&nbsp;&nbsp;static void foo(A[] a) { result += "3"; }</div><div>&nbsp;&nbsp;static void foo(Object o) { result += "4"; }</div><div>}</div><div>class A { }</div><div>class B extends A { }</div></code></div>	4	
What is the value of result?<br /><div align="left"><code><div><div>class Example {</div><div>&nbsp;&nbsp;static String result = "";</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp; &nbsp;int i = 1;</div><div>&nbsp;&nbsp; &nbsp;foo(i);</div><div>&nbsp;&nbsp;}</div><div>&nbsp;&nbsp;static void foo(A[]... a) { result += "1"; }</div><div>&nbsp;&nbsp;static void foo(B[]... b) { result += "2"; }</div><div>&nbsp;&nbsp;static void foo(A[] a) { result += "3"; }</div><div>&nbsp;&nbsp;static void foo(Object o) { result += "4"; }</div><div>}</div><div>class A { }</div><div>class B extends A { }</div></div></code></div>	4	
What is the value of result?<br><div align="left"><code><br>class Example {</code></div><div align="left"><code>&nbsp;&nbsp;static String result = "";</code></div><div align="left"><code>&nbsp;&nbsp;public static void main(String[] args) {</code></div><div align="left"><code>&nbsp;&nbsp; &nbsp;A[] a = new A[2];</code></div><div align="left"><code>&nbsp;&nbsp; &nbsp;foo(a);</code></div><div align="left"><code>&nbsp;&nbsp;}</code></div><div align="left"><code>&nbsp;&nbsp;static void foo(A[]... a) { result += "1"; }</code></div><div align="left"><code>&nbsp;&nbsp;static void foo(B[]... b) { result += "2"; }</code></div><div align="left"><code>&nbsp;&nbsp;static void foo(B[] b) { result += "3"; }</code></div><div align="left"><code>&nbsp;&nbsp;static void foo(Object o) { result += "4"; }</code></div><div align="left"><code>}</code></div><div align="left"><code>class A { }</code></div><div align="left"><code>class B extends A { }<br></code></div>	4<br /><br />var-arg overloaded methods are chosen last. Arrays are objects.	
What is the result of this program?<br /><br /><div align="left"><code><div><div><div>class Example {</div><div>&nbsp;&nbsp; &nbsp; &nbsp; &nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;System.out.println(foo(8));</div><div>&nbsp;&nbsp; &nbsp; &nbsp; &nbsp;}</div><div>&nbsp;&nbsp; &nbsp; &nbsp; &nbsp;static String foo(short s) &nbsp; &nbsp;{ return "1"; }</div><div>&nbsp;&nbsp; &nbsp; &nbsp; &nbsp;static String foo(short... s) { return "2"; }</div><div>}</div></div></div></code></div>	Compilation error<br /><br />foo() expects a short. The call to foo() provides an int.	
What is the result of this program?<br /><br /><div align="left"><code><div><div><div>class Example {</div><div>&nbsp;&nbsp; &nbsp; &nbsp; &nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;System.out.println(foo((short)8));</div><div>&nbsp;&nbsp; &nbsp; &nbsp; &nbsp;}</div><div>&nbsp;&nbsp; &nbsp; &nbsp; &nbsp;static String foo(short s) &nbsp; &nbsp;{ return "1"; }</div><div>&nbsp;&nbsp; &nbsp; &nbsp; &nbsp;static String foo(short... s) { return "2"; }</div><div>}</div></div></div></code></div>	1	
Static init blocks are executed at class loading time. T/F	true	
Static init blocks are executed after the call to super() in a constructor. T/F	false<div><br /></div><div>They are run at class loading time.</div>	
Instance init blocks are executed right after the call to super() in a constructor. T/F	true	
Instance init blocks are executed at class loading time. T/F	false.<div><br /></div><div>They are run after the call to super() in a constructor.</div>	
When multiple init blocks of a single type occur in a class, they run in order, from the top down. T/F	true	
When multiple init blocks of a single type occur in a class, they run in a random order. T/F	false<br /><br />They run in order, from the top down.	
<div>What is the output of the following?</div><div align="left"><code><div><br /></div><div>import static java.lang.System.out;</div><div>class A {</div><div>&nbsp;&nbsp;{ out.print("a1 "); }</div><div>&nbsp;&nbsp;public A() { out.print("a2 "); }</div><div>}</div><div>class B extends A {</div><div>&nbsp;&nbsp;static { out.print("b1 "); }</div><div>&nbsp;&nbsp;public B() { out.print("b2 "); }</div><div>&nbsp;&nbsp;{ out.print("b3 "); }</div><div>&nbsp;&nbsp;static { out.print("b4 "); }</div><div>}</div><div>class Example extends B {&nbsp;</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp; &nbsp;out.print("start ");</div><div>&nbsp;&nbsp; &nbsp;new Example();</div><div>&nbsp;&nbsp; &nbsp;out.print("end ");</div><div>&nbsp;&nbsp;}</div><div>}</div><div><br /></div></code></div>	b1 b4 start a1 a2 b3 b2 end&nbsp;<br /><br />Static init blocks are loaded at class loading time. Instance init blocks run right after the call to super() in a constructor.	
What is the output of the following?<br /><br /><code><div align="left"><div>import static java.lang.System.out;</div><div>class A {</div><div>&nbsp;&nbsp;public A() { out.print("a1 "); }</div><div>&nbsp;&nbsp;static { out.print("a2 "); }</div><div>}</div><div>class B extends A {</div><div>&nbsp;&nbsp;{ out.print("b1 "); }</div><div>&nbsp;&nbsp;public B() { out.print("b2 "); }</div><div>&nbsp;&nbsp;static { out.print("b3 "); }</div><div>&nbsp;&nbsp;static { out.print("b4 "); }</div><div>}</div><div>class Example extends B {&nbsp;</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp; &nbsp;out.print("start ");</div><div>&nbsp;&nbsp; &nbsp;new Example();</div><div>&nbsp;&nbsp; &nbsp;out.print("end ");</div><div>&nbsp;&nbsp;}</div><div>}</div></div></code>	a2 b3 b4 start a1 b1 b2 end&nbsp;<div><br /></div><div>Static init blocks are loaded at class loading time. Instance init blocks run right after the call to super() in a constructor.</div>	
<div>What is the output of the following?</div><br /><div align="left"><code><div><div>import static java.lang.System.out;</div><div>class A {</div><div>&nbsp;&nbsp;public A() { out.print("a1 "); }</div><div>&nbsp;&nbsp;{ out.print("a2 "); }</div><div>&nbsp;&nbsp;static { out.print("a3 "); }</div><div>}</div><div>class B extends A {</div><div>&nbsp;&nbsp;static { out.print("b1 "); }</div><div>&nbsp;&nbsp;{ out.print("b2 "); }</div><div>&nbsp;&nbsp;public B() { out.print("b3 "); }</div><div>}</div><div>class C extends B {</div><div>&nbsp;&nbsp;static { out.print("c1 "); }</div><div>&nbsp;&nbsp;public C() { out.print("c2 "); }</div><div>&nbsp;&nbsp;{ out.print("c3 "); }</div><div>}</div><div>class Example extends B {&nbsp;</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp; &nbsp;out.print("start ");</div><div>&nbsp;&nbsp; &nbsp;new Example();</div><div>&nbsp;&nbsp; &nbsp;out.print("end ");</div><div>&nbsp;&nbsp;}</div><div>}</div></div></code></div>	a3 b1 start a2 a1 b2 b3 end&nbsp;<br /><div><br /></div><div>Static init blocks are loaded at class loading time. Instance init blocks run right after the call to super() in a constructor.</div>	
<div>What is the output of the following?</div><code><div align="left"><div><br /></div><div>public class Example {</div><div>&nbsp;&nbsp;public enum E { ONE, TWO, THREE }</div><div>&nbsp;&nbsp;</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp; &nbsp;System.out.println(E.values());</div><div>&nbsp;&nbsp;}</div><div>}<br /></div></div></code>	garbage<br /><br />E.values() returns an array of the values of E. The array reference is what gets printed.	
<div>What is the output of the following?<br /><br /></div><div align="left"><code><div><div>public class Example {</div><div>&nbsp;&nbsp;public enum E {&nbsp;</div><div>&nbsp;&nbsp; &nbsp;ONE(2), TWO(4), THREE(6);</div><div>&nbsp;&nbsp; &nbsp;E(int x) { this.x = x; };</div><div>&nbsp;&nbsp; &nbsp;private int x;</div><div>&nbsp;&nbsp;}</div><div>&nbsp;&nbsp;</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp; &nbsp;System.out.println(E.ONE + " " + E.ONE.x);</div><div>&nbsp;&nbsp;}</div><div>}</div></div></code></div>	ONE 2	
<div>What is the output of the following?</div><div><br /></div><div align="left"><code><div>public class Example {</div><div>&nbsp;&nbsp;public enum E {&nbsp;</div><div>&nbsp;&nbsp; &nbsp;ONE(2), TWO(4), THREE(6) { public int getX(int x) {</div><div>&nbsp;&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; return x * 100;</div><div>&nbsp;&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; } };</div><div>&nbsp;&nbsp; &nbsp;E(int x) { this.x = x; };</div><div>&nbsp;&nbsp; &nbsp;private int x;</div><div>&nbsp;&nbsp; &nbsp;public int getX(int i) { return x * i; }</div><div>&nbsp;&nbsp;}</div><div>&nbsp;&nbsp;</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp; &nbsp;System.out.println(E.THREE.getX(5) + " " + E.TWO.getX(5));</div><div>&nbsp;&nbsp;}</div><div>}</div></code></div>	<div>500 20</div>	
<div>What is the output of the following?</div><div><br /></div><div align="left"><code><div><div><div>public class Example {</div><div>&nbsp;&nbsp;static int x = 8;</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp; &nbsp;System.out.println(new Example().foo(x));</div><div>&nbsp;&nbsp;}</div><div>&nbsp;&nbsp;int foo(int x) {</div><div>&nbsp;&nbsp; &nbsp;int x = 9;</div><div>&nbsp;&nbsp; &nbsp;return x;</div><div>&nbsp;&nbsp;}</div><div>}</div></div></div></code></div>	This code doesn't compile. The variable x declared in the foo() method is already defined (the x parameter passed into the foo() method).	
<div>What is the output of the following?</div><br /><br /><code><div align="left">public class Example {<div>&nbsp;&nbsp;static int x = 8;</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp; &nbsp;System.out.println(new Example().foo(x));</div><div>&nbsp;&nbsp;}</div><div>&nbsp;&nbsp;int foo(int i) {</div><div>&nbsp;&nbsp; &nbsp;int x = 9;</div><div>&nbsp;&nbsp; &nbsp;return x;</div><div>&nbsp;&nbsp;}</div><div>}</div></div></code>	9	
What is the output of the following?<br /><br /><code><div align="left">enum E {</div><div align="left">&nbsp;&nbsp;ONE(2), TWO(4), THREE(6);</div><div align="left">&nbsp;&nbsp;E(int x) { this.x = x; };</div><div align="left">&nbsp;&nbsp;private int x;</div><div align="left">}</div><div align="left">public class Example {</div><div align="left">&nbsp;&nbsp;public static void main(String[] args) {</div><div align="left">&nbsp;&nbsp; &nbsp;System.out.println(E.ONE + " " + E.ONE.x);</div><div align="left">&nbsp;&nbsp;}</div><div align="left">}</div></code>	This program does not compile. x is a private variable in enum E.	
<div>What is the output of the following?<br /><br /><br><div align="left"><code>enum E {&nbsp;<div>&nbsp;&nbsp;ONE(2), TWO(4), THREE(6);</div><div>&nbsp;&nbsp;E(int x) { this.x = x; };</div><div>&nbsp;&nbsp;int x;</div><div>}</div><div>public class Example {</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp; &nbsp;System.out.println(E.ONE + " " + E.ONE.x);</div><div>&nbsp;&nbsp;}</div><div>}</div></code></div></div>	ONE 2	
How are these two operators similar and different?<br /><br />'&amp;&amp;' and '&amp;'	They are both AND logical operators.<br /><div>They evaluate to TRUE if both operands are TRUE.<br /><br /></div><div>'&amp;&amp;' will short circuit if the first operand is TRUE.<br />'&amp;' will *not* short circuit if the first operand is TRUE. This means that the second operand will always be evaluated.</div>	
How are these two operators similar and different?<br /><br />'||' and '|'	They are both OR operators.<br />They evaluate to TRUE if *either* operand is true.<br /><br />'||' will short circuit if the first operand is TRUE.<div>'|' will *not* short circuit if the first operand is TRUE. This means that the second operand will always be evaluated.</div>	
What does the '^' operator do?	XOR<br />exclusive-or<div><br /></div><div>This operator evaluates to TRUE *iff* exactly one operand is true.</div>	
What is the output of the following?<div><br />&nbsp;<br><div align="left"><code><div>interface i_A { }</div><div>interface i_B { }</div><div>class A implements i_A { }</div><div>class B extends A implements i_B { }</div><div>class Example {</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp; &nbsp;String output = "";</div><div>&nbsp;&nbsp; &nbsp;A a = new A();</div><div>&nbsp;&nbsp; &nbsp;A a2 = new B();</div><div>&nbsp;&nbsp; &nbsp;B b = new B();</div><div>&nbsp;&nbsp; &nbsp;if(a &nbsp;instanceof i_A) output+="1";</div><div>&nbsp;&nbsp; &nbsp;if(a2 instanceof i_B) output +="2";</div><div>&nbsp;&nbsp; &nbsp;System.out.println(output);</div><div>&nbsp;&nbsp;}</div><div>}</div></code></div></div>	<div>12</div>	
What is the output of the following?<div><br />&nbsp;<br><div align="left"><code><div>interface i_A { }</div><div>interface i_B { }</div><div>class A implements i_A { }</div><div>class B extends A implements i_B { }</div><div>class Example {</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp; &nbsp;String output = "";</div><div>&nbsp;&nbsp; &nbsp;A a = new A();</div><div>&nbsp;&nbsp; &nbsp;A a2 = new B();</div><div>&nbsp;&nbsp; &nbsp;B b = new B();</div><div>&nbsp;&nbsp; &nbsp;if(a2 instanceof i_A) output+="1";</div><div>&nbsp;&nbsp; &nbsp;if(b &nbsp;instanceof i_B) output+="2";</div><div>&nbsp;&nbsp; &nbsp;System.out.println(output);</div><div>&nbsp;&nbsp;}</div><div>}</div></code></div></div>	<div>12</div>	
What is the output of the following?<div><br />&nbsp;<br><div align="left"><code><div>interface i_A { }</div><div>interface i_B { }</div><div>class A implements i_A { }</div><div>class B extends A implements i_B { }</div><div>class Example {</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp; &nbsp;String output = "";</div><div>&nbsp;&nbsp; &nbsp;A a = new A();</div><div>&nbsp;&nbsp; &nbsp;A a2 = new B();</div><div>&nbsp;&nbsp; &nbsp;B b = new B();</div><div>&nbsp;&nbsp; &nbsp;if(a instanceof i_A) output+="1";</div><div>&nbsp;&nbsp; &nbsp;if(a instanceof i_B) output+="2";</div><div>&nbsp;&nbsp; &nbsp;System.out.println(output);</div><div>&nbsp;&nbsp;}</div><div>}</div></code></div></div>	<div>1</div>	
What is the output of the following?<div><br />&nbsp;<br><div align="left"><code><div>interface i_A { }</div><div>interface i_B { }</div><div>class A implements i_A { }</div><div>class B extends A implements i_B { }</div><div>class Example {</div><div>&nbsp;&nbsp;public static void main(String[] args) {</div><div>&nbsp;&nbsp; &nbsp;String output = "";</div><div>&nbsp;&nbsp; &nbsp;A a = new A();</div><div>&nbsp;&nbsp; &nbsp;A a2 = new B();</div><div>&nbsp;&nbsp; &nbsp;B b = new B();</div><div>&nbsp;&nbsp; &nbsp;if(a instanceof i_B) output+="1";</div><div>&nbsp;&nbsp; &nbsp;if(b instanceof i_A) output+="2";</div><div>&nbsp;&nbsp; &nbsp;System.out.println(output);</div><div>&nbsp;&nbsp;}</div><div>}</div></code></div></div>	<div>2</div>	
The Java 6 compiler will use 'assert' as a keyword by default. T/F	true	
The Java 6 compiler will not use the 'assert' keyword by default. T/F	false<br /><br />The Java 6 compiler uses the 'assert' keyword by defualt.	
If you want to use 'assert' as an <i>identifier</i>&nbsp;(not a keyword) in your code, you compile using the ___ option.	-source 1.3	
In code where 'assert' is used as a keyword, assertions are disabled by default at runtime. T/F	true	
In code where 'assert' is used as a keyword, assertions are enabled by default at runtime. T/F	false.<br /><br />assertions are disabled by default.	
Complete this command so that assertions are enabled at runtime.<br /><br /><code>java ___ ExampleClass</code>	<code>-ea</code><br /><br />or<div><br /><code>-enableassertions</code></div>	
When compiling old code that uses 'assert' as an identifier with the following command:<br /><br />javac -source 1.3 ExampleClass<br /><br />The compiler will ___	The compiler will issue warnings when it discovers the word 'assert' used as an identifier, but the code will still compile and execute.<br />	
When compiling old code that uses 'assert' as an identifier with the following command:<br /><br />javac -source 1.4 ExampleClass<br /><br />The compiler will ___	The compiler will issue errors when it discovers the word 'assert' used as an identifier.	
<code>Integer.parseInt(...);</code><br /><br />can throw a NumberFormatException. T/F	true	
<code>Integer.parseInt(...);</code><br /><br />throws an IllegalArgumentException. T/F	true<br /><br />IllegalArgmentException is a superclass to NumberFormatException	
Does this compile? Y/N<br /><br /><div align="left"><code>int[] x = {7, 6, 5};<div>for(int y : x) { ... }</div></code></div>	yes	
Does this compile? Y/N<br /><br /><div align="left"><code>int[] x = {7, 6, 5};<div>for(x : int y) { ... }</div></code></div>	no<br /><br />the operands are swapped	
Does this compile? Y/N<br /><br /><div align="left"><code>int[] x = {7, 6, 5};<div>int y = 0; for(y : x) { ... }</div></code></div>	no<br /><br />the enhanced for loop must declare its first operand	
Does this compile? Y/N<br /><br /><div align="left"><code>int[] x = {7, 6, 5};<div>for(int y=0, z=0; z&lt;x.length; z++) { y = x[z]; ... }</div></code></div>	yes	
Does this compile? Y/N<br /><br /><div align="left"><code>int[] x = {7, 6, 5};<div>for(int y=0, int z=0; z&lt;x.length; z++) { y = x[z]; ... }</div></code></div>	no<br /><br />the syntax to create two variables in a for loop is incorrect	
Does this compile? Y/N<br /><br /><div align="left"><code>int[] x = {7, 6, 5};<div>int y =0; for(int z=0; z&lt;x.length; z++) { y = x[z]; ... }</div></code></div>	yes	
An overriding method cannot throw a broader exception than the method it's overriding. T/F	true	
